OV,T,IQRD
31,5,"+ <ol> <li> The Masoretic Text (MT or 𝕸; Hebrew: נֻסָּח הַמָּסוֹרָה, romanized: Nūssāḥ Hammāsōrā, lit. 'Text of the Tradition') is the authoritative Hebrew and Aramaic text of the 24 books of the Hebrew Bible (Tanakh) in Rabbinic Judaism. The Masoretic Text defines the Jewish canon and its precise letter-text, with its vocalization and accentuation known as the mas'sora. Referring to the Masoretic Text, masorah specifically means the diacritic markings of the text of the Hebrew scriptures and the concise marginal notes in manuscripts (and later printings) of the Tanakh which note textual details, usually about the precise spelling of words. It was primarily copied, edited and distributed by a group of Jews known as the Masoretes between the 7th and 10th centuries of the Common Era (CE). The oldest known complete copy, the Leningrad Codex, dates from the early 11th century CE. </li> <li> The differences attested to in the Dead Sea Scrolls indicate that multiple versions of the Hebrew scriptures already existed by the end of the Second Temple period. Which is closest to a theoretical Urtext is disputed, as is whether such a singular text ever existed. The Dead Sea Scrolls, dating to as early as the 3rd century BCE, contain versions of the text that contain some differences from today's Hebrew Bible. The Septuagint (a Koine Greek translation made in the 3rd and 2nd centuries BCE) and the Peshitta (a Syriac translation made in the 2nd century CE) occasionally present notable differences from the Masoretic Text, as does the Samaritan Pentateuch, the text of the Torah preserved by the Samaritans in Samaritan Hebrew. Fragments of an ancient manuscript of the Book of Leviticus found near an ancient synagogue's Torah ark in Ein Gedi have identical wording to the Masoretic Text. </li>  <li> The Masoretes began their work c. a.d. 500, and continued it almost to the time of the invention of printing. </li> <li> The Masoretic Text is the basis for most Protestant translations of the Old Testament such as the King James Version, English Standard Version, New American Standard Version, and New International Version. After 1943, it has also been used for some Catholic Bibles, such as the New American Bible and the New Jerusalem Bible. Some Christian denominations instead prefer translations of the Septuagint as it matches quotations in the New Testament. </li> </ol>"
57,5,"+<ul>refers to: <li> family </li> <li> house </li> <li> in </li> <li> tent <li/> <li> floorplan <li/></ul>"
44,4,"•<ul> The Hebrew diacritic : <li> Dagesh, indicating a modification of the sound of a letter </li> <li> Mappiq, indicating that a letter is to be pronounced as a consonant </li> <li> Shuruk, a niqqud vowel sign representing the sound [u] </li> </ul>"
44,5,"+ a point placed in a consonant in pointed writing in the Hebrew alphabet to denote that (1) it is pronounced as a stop rather than as a spirant or that (2) it is pronounced double"
80,5,"+<ul> <li> head of a man </li> <li> head </li> <li> person </li> <li> first </li> <li> top </li> <li> beginning </li> </ul>"
37,5,"+ Tzere (also spelled Tsere, Tzeirei, Zere, Zeire, Ṣērê; modern Hebrew: צֵירֵי, IPA: [tseˈʁe], sometimes also written צירה‎; formerly צֵרֵי‎ ṣērê) is a Hebrew niqqud vowel sign represented by two horizontally-aligned dots "" ◌ֵ"" underneath a letter. In modern Hebrew, tzere is pronounced the same as segol and indicates the phoneme /e/, which is the same as the "" e "" sound in the vowel segol and is transliterated as an "" e"". There was a distinction in Tiberian Hebrew between segol and Tzere. צֵרֵי refers to balsam, salve."
56,5,"+ <ul> <li> ox head </li> <li> power </li> <li> ox </li> <li> strength </li> <li> leader </li> </ul>"
6,5,"+ <ol> <li> Tifcha (Hebrew: טִפְחָ֖א, also spelled Tifkha, Tipcha and other variant English spellings) is a cantillation mark commonly found in the Torah, Haftarah, and other books that are chanted. In Sephardic and Oriental traditions, it is called Tarcha, meaning ""dragging"" or ""effort"". </li> <li> The Tifcha is found in both the Etnachta group as the second member of that group, and in the Sof passuk group, though the melody varies slightly in each. While it is a weak sound, it is considered to be stronger than a Tevir </li> <li> The Hebrew word טִפְחָ֖א translates into English as diagonal. It is related to the word tefach (טפח, measurement of the palm). The tifcha does not have a separating value of its own, as it is in the middle of a set of words. </li> <li> Tifcha occurs in the Torah 11,285 times, more than any other trope sound. Tifcha is the only trope sound to appear more than 10,000 times in the Torah. </li>  <li> The first word of the Torah בראשית (Bereshit) is on a Tifcha. </li> </ol>"
81,5,"+ <ol> <li> Shin (also spelled Šin (šīn) or Sheen) is the twenty-first letter of the Semitic abjads, including Phoenician šīn 𐤔, Hebrew šīn ש, Aramaic šīn 𐡔, Syriac šīn ܫ, and Arabic sīn س (in abjadi order, 13th in modern order). Its sound value is a voiceless sibilant, [ʃ] or [s]. </li> <li> The Phoenician letter gave rise to the Greek Sigma (Σ) (which in turn gave Latin S and Cyrillic С), and the letter Sha in the Glagolitic and Cyrillic scripts (, Ш). </li> <li> The South Arabian and Ethiopian letter Śawt is also cognate. </li> </ol>"
81,5,"+ <ul> <li> two front teeth </li><li> sharp </li> <li> press </li> <li> eat </li> <li> two </li> <li> consume </li>  <li> destroy </li> </ul>"
49,5,"+ Its sound value is a voiceless sibilant, [ʃ]."
50,5,"+ Its sound value is a voiceless sibilant, [s]."
65,5,"<ul> <li> arm and hand </li> <li> work </li> <li> deed </li> <li> arm and closed hand </li> <li> hand </li> <li> throw </li> <li> worship </li> </ul>"
65,5,"<ol> <li> Yodh (also spelled jodh, yod, or jod) is the tenth letter of the Semitic abjads, including Phoenician yōd 𐤉, Hebrew yud י, Aramaic yod 𐡉, Syriac yōḏ ܝ, and Arabic yāʾ ي. Its sound value is /j/ in all languages for which it is used; in many languages, it also serves as a long vowel, representing /iː/. </li> <li> The Phoenician letter gave rise to the Greek Iota (Ι), Latin I and J, Cyrillic І, Coptic iauda (Ⲓ) and Gothic eis . </li> <li> The term yod is often used to refer to the speech sound [j], a palatal approximant, even in discussions of languages not written in Semitic abjads, as in phonological phenomena such as English ""yod-dropping"". </li> </ol>"
57,5,"+ <ol> <li> Bet, Beth, Beh, or Vet is the second letter of the Semitic abjads, including Phoenician bēt 𐤁 , Hebrew bēt ב, Aramaic bēṯ 𐡁, Syriac bēṯ ܒ, and Arabic bāʾ ب. Its sound value is the voiced bilabial stop ⟨b⟩ or the voiced labiodental fricative ⟨v⟩. </li> <li> The letter's name means ""house"" in various Semitic languages (Arabic bayt, Akkadian bītu, bētu, Hebrew: bayīṯ, Phoenician bēt etc.; ultimately all from Proto-Semitic *bayt-), and appears to derive from an Egyptian hieroglyph of a house by acrophony. </li> <li> The Phoenician letter gave rise to, among others, the Greek beta (Β, β), Latin B (B, b) and Cyrillic Be (Б, б) and Ve (В, в). </li> </ol>"
