OV,RI,heb,ACP,ODC
6,29677,"‎‎‎טִפְחָ֖א",2,d
9,23044,"‎פַּשְׁטָא֙",6,d
31,22041,"מַסּוֹרָה",5,d
37,23550,"צֵרֵי",,
44,24861,"‎דָּגֵשׁ",,
45,25740,"‎מֶתֶֽג",23,c
46,24562,"מַקֵּף",9,c
49,29820,"שִׁין",,
56,23490,"‎אָלֶף",,o
57,25758,"‎בֵית",,o
63,25285,"חֵית",,o
80,27391,"‎רֵישׁ",,o
81,22814,"שין",,o
65,21992,"יוֹד",,o
82,24785,"‎תָּו",,o
36,25467,"‎‎חִירֶק",,
19,23076,"מֻנַּח",2,c
33,25082,"‎חָטֵף טֶגוֹל",,
68,22276,"לָמֶד",,o
41,25754,"‎חוֹלֶם",,
60,25677,"הֵא",,o
1,28812,"‎‎אֶתְנַחְתָּא",2,d
70,21996,"‎מֵם",,o
69,25720,"‎מֵם sofit",,o
21,24557,"‎מֵרְכָ֥א",2,c
39,25960,"‎פַּתָּח",,
40,22288,"‎קָמֵץ",,
61,25089,"וָו",,o
32,25108,"שְׁוָא",,
38,25273,"סֶגוֹל",,
77,26980,"‎צָדִי",,o
7,29844,"‎רְבִיעַ",5,c
4,22508,"‎זָקֵף קָטָ֔ן",5,d
66,24943,"sofit כָּף",,o
74,22013,"‎עַיִן",,o
76,23125,"פֵּא",,o
72,24472,"נוּן",,o
