OV,ACP,ODC
1,2,d
2,3,d
3,4,d
4,5,d
5,5,d
6,2,d
7,5,d
8,3,c
9,6,d
10,7,d
11,2,d
12,5,d
13,8,d
14,5,d
15,5,d
16,8,d
17,5,d
18,2,c
19,2,c
20,2,c
21,2,c
22,2,c
23,2,c
24,5,c
25,10,c
26,2,c
27,25,d
28,5,c
29,7,d
30,3,d
31,5,d
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,23,c
46,9,c
47,,
48,9,c
49,,
50,,
51,1,d
52,,
53,,
54,9,c
55,,
56,,o
57,,o
58,,o
59,,o
60,,o
61,,o
62,,o
63,,o
64,,o
65,,o
66,,o
67,,o
68,,o
69,,o
70,,o
71,,o
72,,o
73,,o
74,,o
75,,o
76,,o
77,,o
78,,o
79,,o
80,,o
81,,o
82,,o
