OV,CODE,ACTIVITY,NAME,HEBREW,GLYPH,POSITION
1,0591,1,"HEBREW ACCENT ETNAHTA","אֶתְנַחְתָּא","א֑",c
2,0592,1,"HEBREW ACCENT SEGOL","סְגוֹל","א֒",e
3,0593,1,"HEBREW ACCENT SHALSHELET","שַׁלְשֶׁלֶת","א֓",ce
4,0594,1,"HEBREW ACCENT ZAQEF QATAN","זָקֵף קָטָן","א֔",c
5,0595,1,"HEBREW ACCENT ZAQEF GADOL","זָקֵף גָּדוֹל","א֕",c
6,0596,1,"HEBREW ACCENT TIPEHA","טִפְּחָא","א֖",c
7,0597,1,"HEBREW ACCENT REVIA","רְבִיעַ","א֗",c
8,0598,1,"HEBREW ACCENT ZARQA","זַרְקָא","א֘",e
9,0599,1,"HEBREW ACCENT PASHTA","פַּשְׁטָא","א֙",(c)d
10,059A,1,"HEBREW ACCENT YETIV","יְתִיב","א֚",a
11,059B,1,"HEBREW ACCENT TEVIR","תְּבִיר","א֛",c
12,059C,1,"HEBREW ACCENT GERESH","גֶּרֶשׁ","א֜",c
13,059D,1,"HEBREW ACCENT GERESH MUQDAM",,"א֝",
14,059E,1,"HEBREW ACCENT GERSHAYIM","גֶּרְשַׁיִם","א֞",c
15,059F,1,"HEBREW ACCENT QARNEY PARA","קַרְנֵי פָרָה","א֟",c
16,05A0,1,"HEBREW ACCENT TELISHA GEDOLA","תְּלִישָׁא גְדוֹלָה","א֠",a(c)
17,05A1,1,"HEBREW ACCENT PAZER","פָּזֵר","א֡",c
18,05A2,1,"HEBREW ACCENT ATNAH HAFUKH","אַתְנַח הָפוּךְ","א֢",c
19,05A3,1,"HEBREW ACCENT MUNAH","מֻנָּח","א֣",c
20,05A4,1,"HEBREW ACCENT MAHAPAKH","מַהְפָּךְ","א֤",c
21,05A5,1,"HEBREW ACCENT MERKHA","מֵרְכָא","א֥",c
22,05A6,1,"HEBREW ACCENT MERKHA KEFULA","מֵרְכָא כְפוּלָ","א֦",c
23,05A7,1,"HEBREW ACCENT DARGA","דַּרְגָּא","א֧",c
24,05A8,1,"HEBREW ACCENT QADMA","קַדְמָא","א֨",c
25,05A9,1,"HEBREW ACCENT TELISHA QETANA","תְּלִישָׁא קְטַנָּה","א֩",(c)e
26,05AA,1,"HEBREW ACCENT YERAH BEN YOMO","יְרָח בֵּן יּוֹמֹ","א֪",c-b
27,05AB,1,"HEBREW ACCENT OLE","עוֹלֶה","א֫",b-a
28,05AC,1,"HEBREW ACCENT ILUY","עִלּוּי","א֬",c
29,05AD,1,"HEBREW ACCENT DEHI","דְּחִי","א֭",a
30,05AE,1,"HEBREW ACCENT ZINOR","צִנּוֹר","א֮",e
31,05AF,2,"HEBREW MARK MASORA CIRCLE",,"א֯",
32,05B0,3,"HEBREW POINT SHEVA",,"אְ",
33,05B1,3,"HEBREW POINT HATAF SEGOL",,"אֱ",
34,05B2,3,"HEBREW POINT HATAF PATAH",,"אֲ",
35,05B3,3,"HEBREW POINT HATAF QAMATS",,"אֳ",
36,05B4,3,"HEBREW POINT HIRIQ",,"אִ",
37,05B5,3,"HEBREW POINT TSERE",,"אֵ",
38,05B6,3,"HEBREW POINT SEGOL",,"אֶ",
39,05B7,3,"HEBREW POINT PATAH",,"אַ",
40,05B8,3,"HEBREW POINT QAMATS",,"אָ",
41,05B9,3,"HEBREW POINT HOLAM",,"אֹ",
42,05BA,3,"HEBREW POINT HOLAM HASER FOR VAV",,"‎‎אֺ",
43,05BB,3,"HEBREW POINT QUBUTS",,"אֻ",
44,05BC,3,"HEBREW POINT DAGESH OR MAPIQ","‎דָּגֵשׁ","אּ",a(c)
45,05BD,3,"HEBREW POINT METEG","מֶתֶג","אֽ",b
46,05BE,4,"HEBREW PUNCTUATION MAQAF","מַקֵּף","־",e
47,05BF,4,"HEBREW PUNCTUATION RAFE",,"אֿ",
48,05C0,4,"HEBREW PUNCTUATION PASEQ","פָּסֵק","׀",e
49,05C1,3,"HEBREW POINT SHIN DOT",,"אׁ",
50,05C2,3,"HEBREW POINT SIN DOT",,"אׂ",
51,05C3,4,"HEBREW PUNCTUATION SOF PASUQ","סוֹף פָּסוּק","׃",ce
52,05C4,2,"HEBREW MARK UPPER DOT",,"‎אׄ",
53,05C5,2,"HEBREW MARK LOWER DOT",,"‎‎אׅ",
54,05C6,4,"HEBREW PUNCTUATION NUN HAFUKHA",,"׆",
55,05C7,3,"HEBREW POINT QAMATS QATAN",,"אׇ",
56,05D0,5,"HEBREW LETTER ALEF","אֶלֶף","א",
