OV,K,IQRD
8,2,"→ 05AE $֮ hebrew accent zinor"
18,2,"→ 05AA $֪ hebrew accent yerah ben yomo"
26,2,"→ 05A2 $֢ hebrew accent atnah hafukh"
30,2,"→ 0598 $֘ hebrew accent zarqa"
47,2,"→ FB1E $ﬞ hebrew point judeo-spanish varika"
48,2,"→ 007C | vertical line"
51,2,"→ 003A : colon"
53,2,"→ 05B4 $ִ hebrew point hiriq"
54,2,"→ 05E0 נ hebrew letter nun"
55,2,"→ 05B8 $ָ hebrew point qamats"
56,2,"→ 2135 א alef symbol"
57,2,"→ 2136 ב bet symbol"
58,2,"→ 2137 ג gimel symbol"
59,2,"→ 2138 ד dalet symbol"
87,2,"→ 0027 ' apostrophe"
88,2,"→ 0022 "" quotation mark"
1,3,"= atnah"
2,3,"= segolta"
6,3,"= tarha, me'ayla ~ mayla"
8,3,"= tsinorit, zinorit; tsinor, zinor"
12,3,"= teres"
15,3,"= pazer gadol"
17,3,"= pazer qatan"
24,3,"= azla"
26,3,"= galgal"
30,3,"= tsinor; zarqa"
45,3,"= siluq"
48,3,"= legarmeh"
78,3,"= zade"
84,3,"= tsvey vovn"
86,3,"= tsvey yudn"
8,4,"• This character is to be used when Zarqa or Tsinor are placed above, and also for Tsinorit."
30,4,"• This character is to be used when Zarqa or Tsinor are placed above left."
39,4,"• furtive patah is not a distinct character"
45,4,"• may be used as a Hebrew accent sof pasuq"
48,4,"• may be treated as spacing punctuation, not as a point"
51,4,"• may be used as a Hebrew punctuation colon"
53,4,"• punctum extraordinarium (Psalms 27:13)"
54,4,"• does not historically derive from the letter nun"
87,5,"+ An apostrophe-like sign (also known colloquially as a chupchik) placed after a letter"
88,5,"+ double apostrophe"
87,4,"• as a diacritic that modifies the pronunciation of some letters (only in modern Hebrew),"
87,4,"• as a diacritic that signifies Yiddish origin of a word or suffix,"
87,4,"• as a punctuation mark to denote initialisms or abbreviations,"
87,4,"• or to denote a single-digit Hebrew numeral"
87,2,"→ A note of cantillation in the reading of the Torah and other Biblical books, taking the form of a curved diagonal stroke placed above a letter."
87,5,"+ Geresh (׳ in Hebrew: גֶּרֶשׁ‎‎ or גֵּרֶשׁ‎‎ [ˈɡeʁeʃ], or medieval [ˈɡeːɾeːʃ]) is a sign in Hebrew writing."
88,5,"+ Gershayim (Hebrew: גֵּרְשַׁיִם‎, without niqqud גרשיים‎), also occasionally grashayim (גְּרָשַׁיִם‎), is two distinct typographical marks in the Hebrew language."
88,5,"+ The name literally means ""double geresh""."
46,5,"+ …Synonyms used as coordinator: slash, cum"
46,5,"+ a symbol used to join words or to indicate a word has been split"
47,2,"→ In some siddurs (e.g. those printed by ArtScroll) a diacritical symbol, typographically the same as the rafe, but utterly unrelated, is used to mark instances of ""moving sheva"" (Shva Na)."
47,5,"+ In Hebrew orthography the rafe or raphe (Hebrew: רָפֶה, pronounced [ʁaˈfe], meaning ""(literary) weak, limp; (grammar) lax"") is a diacritic (⟨ ֿ‎ ⟩), a subtle horizontal overbar placed above certain letters to indicate that they are to be pronounced as fricatives."
47,5,"+ It originated with the Tiberian Masoretes as part of the extended system of niqqud (vowel points), and has the opposite meaning of dagesh qal, showing that one of the letters בגדכפת is to be pronounced as a fricative and not as a plosive, or (sometimes) that a consonant is single and not double; or, as the opposite to a mappiq, to show that the letters ה or א are silent (mater lectionis)."
47,5,"+ The rafe generally fell out of use for Hebrew with the coming of printing, although according to Gesenius (1813) at that time it could still be found in a few places in printed Hebrew Bibles, where the absence of a dagesh or a mappiq was noticeable. (e.g. Exodus 20:13,14,15; Deuteronomy 5:13,17,18,19; 2 Samuel 11:1; Isaiah 22:10; Jeremiah 20:17; Psalm 119:99; Zechariah 5:11)"
