SN,OV,ACP,OT,ODC,OIT
1,57,,0,o,0
2,44,,0,,0
3,32,,0,,0
4,31,5,1,d,0
5,80,,0,o,0
6,37,,1,,0
7,56,,1,o,0
8,81,,0,o,0
9,49,,0,,0
10,36,,0,,0
11,6,2,1,d,0
12,65,,1,o,0
13,82,,1,o,1
14,57,,0,o,0
15,44,,0,,0
16,40,,1,,0
17,80,,0,o,0
18,40,,0,,0
19,19,2,1,c,0
20,56,,1,o,1
21,56,,0,o,0
22,33,,1,,0
23,68,,0,o,0
24,41,,1,,0
25,60,,0,o,0
26,36,,0,,0
27,1,2,1,d,0
28,65,,1,o,0
29,69,,1,o,1
30,56,,0,o,0
31,37,,0,,0
32,21,2,1,c,0
34,82,,1,o,1
35,60,,0,o,0
36,39,,1,,0
37,81,,0,o,0
38,49,,0,,0
39,44,,0,,0
40,40,,1,,0
41,70,,0,o,0
42,39,,0,,0
43,6,2,1,d,0
44,65,,0,o,0
45,36,,1,,0
46,36,,1,,1
47,61,,0,o,0
48,32,,1,,0
49,56,,0,o,0
50,37,,0,,0
51,21,2,1,c,0
52,82,,1,o,1
53,60,,0,o,0
54,40,,1,,0
55,56,,0,o,0
56,40,,0,,0
57,45,23,1,c,0
58,80,,0,o,0
59,38,,1,,0
60,77,,1,o,1
61,61,,0,o,0
62,32,,1,,0
63,60,,0,o,0
64,40,,1,,0
65,56,,0,o,0
66,40,,0,,0
67,7,5,1,c,0
68,80,,0,o,0
69,38,,1,,0
70,77,,1,o,1
71,60,,0,o,0
72,40,,1,,0
73,65,,0,o,0
74,32,,1,,0
75,82,,0,o,0
76,40,,0,,0
77,21,2,1,c,0
78,60,,1,o,1
79,40,,1,,0
80,41,,0,,0
81,9,6,1,d,0
82,60,,1,o,0
83,61,,0,o,0
84,44,,0,,0
85,9,6,1,d,1
86,61,,0,o,0
87,40,,1,,0
88,57,,0,o,0
89,41,,0,,0
90,4,5,1,d,0
91,60,,1,o,0
92,61,,0,o,0
93,44,,1,,1
94,61,,0,o,0
95,32,,1,,0
96,63,,0,o,0
97,41,,0,,0
98,6,2,1,d,0
99,81,,0,o,0
100,49,,0,,0
101,38,,1,,0
102,66,,0,o,0
103,32,,1,,1
104,74,,0,o,0
105,39,,1,,0
106,68,,0,o,0
107,46,9,1,c,0
108,76,,1,o,0
109,44,,0,,0
110,32,,1,,0
111,72,,0,o,0
112,37,,0,,0
113,19,2,1,c,0
114,65,,1,o,1
115,82,,0,o,0
116,32,,1,,0
117,60,,0,o,0
118,1,2,1,d,0
119,61,,0,o,0
120,41,,1,,0
121,69,,1,o,1
122,61,,0,o,0
123,32,,1,,0
124,80,,0,o,0
125,19,2,1,c,0
126,61,,0,o,0
127,44,,1,,0
128,63,,0,o,0
129,39,,1,,1
130,56,,0,o,0
131,33,,1,,0
132,68,,0,o,0
133,41,,1,,0
134,60,,0,o,0
135,36,,0,,0
136,4,5,1,d,0
137,65,,1,o,0
138,69,,1,o,1
139,70,,0,o,0
140,32,,1,,0
141,80,,0,o,0
142,39,,1,,0
143,63,,0,o,0
144,38,,0,,0
145,6,2,1,d,0
146,76,,0,o,0
147,38,,1,,0
148,82,,1,o,1
149,74,,0,o,0
150,39,,1,,0
151,68,,0,o,0
152,46,9,1,c,0
153,76,,1,o,0
154,44,,0,,0
155,32,,1,,0
156,72,,0,o,0
157,37,,0,,0
158,19,2,1,c,0
159,65,,1,o,1
160,60,,0,o,0
161,39,,1,,0
162,70,,0,o,0
163,44,,0,,0
164,40,,0,,0
165,45,23,1,c,0
166,65,,0,o,0
167,36,,1,,0
168,69,,1,o,1
169,61,,0,o,0
170,39,,1,,0
171,65,,0,o,0
172,44,,0,,0
173,41,,0,,0
174,21,2,1,c,0
175,56,,1,o,0
176,70,,0,o,0
177,38,,1,,0
178,80,,1,o,1
179,56,,0,o,0
180,33,,1,,0
181,68,,0,o,0
182,41,,1,,0
183,60,,0,o,0
184,36,,0,,0
185,6,2,1,d,0
186,65,,1,o,0
187,69,,1,o,1
188,65,,0,o,0
189,32,,1,,0
190,60,,0,o,0
191,36,,0,,0
192,19,2,1,c,0
193,65,,1,o,1
194,56,,0,o,0
195,41,,0,,0
196,1,2,1,d,0
197,61,,1,o,0
198,80,,1,o,1
199,61,,0,o,0
200,39,,0,,0
201,45,23,1,c,0
202,65,,0,o,0
203,32,,1,,0
204,60,,0,o,0
205,36,,1,,0
206,65,,0,o,0
207,46,9,1,c,0
208,56,,0,o,0
209,41,,0,,0
210,45,23,1,c,0
211,61,,1,o,0
212,80,,1,o,1
